Tempo, Referencia, Erro, Posicao
"1,82","1,82","0,711406","1,104594"
"1,823","1,823","0,715406","1,104594"
"1,826","1,826","0,70863","1,11437"
"1,83","1,83","0,706743","1,119257"
"1,833","1,833","0,730293","1,099707"
"1,837","1,837","0,703968","1,129032"
"1,84","1,84","0,70308","1,13392"
"1,844","1,844","0,740293","1,099707"
"1,847","1,847","0,705193","1,138807"
"1,85","1,85","0,708193","1,138807"
"1,854","1,854","0,760068","1,089932"
"1,857","1,857","0,710305","1,143695"
"1,86","1,86","0,713305","1,143695"
"1,864","1,864","0,70653","1,15347"
"1,867","1,867","0,720305","1,143695"
"1,87","1,87","0,718417","1,148583"
"1,874","1,874","0,706755","1,163245"
"1,878","1,878","0,715642","1,158358"
"1,881","1,881","0,714755","1,163245"
"1,885","1,885","0,717755","1,163245"
"1,888","1,888","0,716867","1,168133"
"1,891","1,891","0,71498","1,17302"
"1,895","1,895","0,713092","1,177908"
"1,898","1,898","0,717092","1,177908"
"1,901","1,901","0,715204","1,182796"
"1,905","1,905","0,713317","1,187683"
"1,908","1,908","0,727092","1,177908"
"1,911","1,911","0,715429","1,192571"
"1,915","1,915","0,708654","1,202346"
"1,918","1,918","0,727317","1,187683"
"1,922","1,922","0,715654","1,202346"
"1,926","1,926","0,714767","1,207234"
"1,929","1,929","0,75298","1,17302"
"1,932","1,932","0,721766","1,207234"
"1,935","1,935","0,714991","1,217009"
"1,939","1,939","0,761979","1,17302"
"1,942","1,942","0,712216","1,226784"
"1,945","1,945","0,715216","1,226784"
"1,949","1,949","0,703553","1,241447"
"1,952","1,952","0,712441","1,236559"
"1,955","1,955","0,710553","1,241447"
"1,959","1,959","0,708666","1,246334"
"1,963","1,963","0,707778","1,251222"
"1,966","1,966","0,711778","1,251222"
"1,97","1,97","0,714778","1,251222"
"1,973","1,973","0,713891","1,256109"
"1,976","1,976","0,712003","1,260997"
"1,98","1,98","0,715003","1,260997"
"1,983","1,983","0,719003","1,260997"
"1,986","1,986","0,717115","1,265885"
"1,99","1,99","0,715228","1,270772"
"1,993","1,993","0,71434","1,27566"
"1,996","1,996","0,707565","1,285435"
2,2,"0,710565","1,285435"
"2,003","2,003","0,72434","1,27566"
"2,007","2,007","0,70779","1,29521"
"2,011","2,011","0,71179","1,29521"
"2,014","2,014","0,750003","1,260997"
"2,017","2,017","0,71879","1,29521"
"2,02","2,02","0,716902","1,300098"
"2,024","2,024","0,759003","1,260997"
"2,027","2,027","0,719015","1,304985"
"2,03","2,03","0,71224","1,31476"
"2,034","2,034","0,705464","1,324536"
"2,037","2,037","0,709464","1,324536"
"2,04","2,04","0,712464","1,324536"
"2,044","2,044","0,705689","1,334311"
"2,048","2,048","0,709689","1,334311"
"2,051","2,051","0,708802","1,339198"
"2,055","2,055","0,706914","1,344086"
"2,058","2,058","0,710914","1,344086"
"2,061","2,061","0,709026","1,348974"
"2,065","2,065","0,712026","1,348974"
"2,068","2,068","0,716026","1,348974"
"2,071","2,071","0,719026","1,348974"
"2,075","2,075","0,717139","1,353861"
"2,078","2,078","0,730914","1,344086"
"2,081","2,081","0,724139","1,353861"
"2,085","2,085","0,722251","1,358749"
"2,088","2,088","0,731139","1,353861"
"2,092","2,092","0,724364","1,363636"
"2,096","2,096","0,718588","1,373412"
"2,099","2,099","0,756801","1,339198"
"2,102","2,102","0,720701","1,378299"
"2,105","2,105","0,718813","1,383187"
"2,109","2,109","0,765802","1,339198"
"2,112","2,112","0,720926","1,388074"
"2,115","2,115","0,719038","1,392962"
"2,119","2,119","0,785577","1,329423"
"2,122","2,122","0,721151","1,397849"
"2,125","2,125","0,724151","1,397849"
"2,129","2,129","0,712488","1,412512"
"2,132","2,132","0,721375","1,407625"
"2,136","2,136","0,7146","1,4174"
"2,14","2,14","0,713713","1,422287"
"2,143","2,143","0,717713","1,422287"
"2,146","2,146","0,715825","1,427175"
"2,15","2,15","0,70905","1,43695"
"2,153","2,153","0,708162","1,441838"
"2,156","2,156","0,711162","1,441838"
"2,16","2,16","0,709275","1,446725"
"2,163","2,163","0,713275","1,446725"
"2,166","2,166","0,711387","1,451613"
"2,17","2,17","0,709499","1,4565"
"2,173","2,173","0,723275","1,446725"
"2,177","2,177","0,711612","1,461388"
"2,181","2,181","0,710724","1,466276"
"2,184","2,184","0,739162","1,441838"
"2,187","2,187","0,712837","1,471163"
"2,19","2,19","0,710949","1,476051"
"2,194","2,194","0,75305","1,43695"
"2,197","2,197","0,708174","1,485826"
"2,2","2,2","0,706286","1,490714"
"2,204","2,204","0,76305","1,43695"
"2,207","2,207","0,713286","1,490714"
"2,21","2,21","0,716286","1,490714"
"2,214","2,214","0,709511","1,500489"
"2,217","2,217","0,718399","1,495601"
"2,221","2,221","0,721399","1,495601"
"2,225","2,225","0,710736","1,510264"
"2,228","2,228","0,719624","1,505376"
"2,231","2,231","0,717736","1,510264"
"2,235","2,235","0,710961","1,520039"
"2,238","2,238","0,714961","1,520039"
"2,241","2,241","0,717961","1,520039"
"2,245","2,245","0,716073","1,524927"
"2,248","2,248","0,720073","1,524927"
"2,251","2,251","0,723073","1,524927"
"2,255","2,255","0,721186","1,529814"
"2,258","2,258","0,725186","1,529814"
"2,262","2,262","0,723298","1,534702"
"2,266","2,266","0,722411","1,539589"
"2,269","2,269","0,741073","1,524927"
"2,272","2,272","0,719635","1,549365"
"2,275","2,275","0,717748","1,554252"
"2,279","2,279","0,754961","1,520039"
"2,282","2,282","0,714973","1,564027"
"2,285","2,285","0,713085","1,568915"
"2,289","2,289","0,764961","1,520039"
"2,292","2,292","0,715198","1,573802"
"2,295","2,295","0,71331","1,57869"
"2,299","2,299","0,706535","1,588465"
"2,302","2,302","0,710535","1,588465"
"2,306","2,306","0,713535","1,588465"
"2,31","2,31","0,70776","1,59824"
"2,313","2,313","0,716647","1,593353"
"2,316","2,316","0,719647","1,593353"
"2,32","2,32","0,71776","1,59824"
"2,323","2,323","0,716872","1,603128"
"2,326","2,326","0,714984","1,608016"
"2,33","2,33","0,713097","1,612903"
"2,333","2,333","0,717097","1,612903"
"2,336","2,336","0,710322","1,622678"
"2,34","2,34","0,708434","1,627566"
"2,343","2,343","0,717322","1,622678"
"2,347","2,347","0,715434","1,627566"
"2,351","2,351","0,714546","1,632453"
"2,354","2,354","0,738097","1,612903"
"2,357","2,357","0,716659","1,637341"
"2,361","2,361","0,719659","1,637341"
"2,364","2,364","0,757872","1,603128"
"2,367","2,367","0,716884","1,647116"
